Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,142843.55,143143.37,140378.39,136803.57,132982.1,131018.74,132135.26,135007.33,133081.49,130669.15,135463.56,133748.29,132158.23,126156.2,128437.32,129533.84,129449.94,130171.39,127579.56,127090.09,123271.76,126628.99,122788.25,124390.13,123540.03,122931.06,122107.46,125558.59,125300.35
Austria,10415.71,10290.5,10005.75,9921.46,9631.48,9554.27,9251.48,8949.23,8769.77,8588.57,8416.99,8258.5,8117.85,8054.49,8057.62,7823.8,7724.19,7619.01,7493.4,7417.06,7332.56,7132.35,7030.65,6931.09,6801.36,6726.17,6666.44,6649.98,6462.58
Belarus,17466.45,16390.92,15258.69,14317.46,13569.43,12887.08,12835.05,12889.54,12880.53,12440.62,12295.4,12225.37,12206.42,12311.06,13089.21,12831.21,13264.18,13512.2,14478.01,14589.21,15156.24,15045.69,15371.16,15782.56,15860.63,16054.94,15788.73,15936.32,16110.09
Belgium,12279.44,12242.47,12162.94,12109.3,12154.24,12229.3,12097.68,11957.98,11790.61,11531.11,11085.55,10630.75,10197.54,9629.54,9581.24,9337.62,9239.85,9183.59,8989.35,8927.7,8879.63,8621.91,8471.53,8312.56,8191.49,8196.5,8167.04,7998.01,7915.49
Bulgaria,15939.19,14948.09,14673.57,13640.03,11745.49,11745.63,11658.22,11327.02,10745.32,10237.62,10203.39,9373.77,9474.82,9910.3,9283.82,8812.33,8510.54,8508.04,8193.23,7882.34,7859.37,8073,7716.64,7572.41,7461.98,7463.19,7227.97,7011.77,6757.05
Canada,91340.89,92995.71,97512.36,100996.12,104721.5,108774.55,112289.67,110673.51,111421.32,112513.15,112975.93,110977.35,109120.53,107638.34,107932.81,106624.53,105502.32,103844.44,100893.12,94529.12,92234.99,92032.75,94736.82,96193.95,97907.38,96192.03,93119.43,92512.13,92008.42
Croatia,4383.67,4238.07,3791.26,3729.01,3524.25,3478.91,3455.8,3436.79,3446.68,3476.85,3522.64,3527.63,3533.48,3746.43,3814.65,3835.75,3976.04,4026.31,4000.32,4074.62,4146.94,4113.96,4087.37,3814.1,3854.83,3960.49,4093.94,4138.35,3890.02
Cyprus,661.49,673.25,691.27,716.1,729.98,750.49,767.68,772.17,776,776.05,799.72,826.6,848.48,840.52,836.09,818.7,820.7,828.26,821.89,824.31,833.04,838.04,827.57,820.83,821.25,832.57,870.38,875.64,885.29
Czechia,23572.04,21992.49,20661.08,19758.55,18641.23,18213.89,18082.91,17682.57,16983.4,16248.67,15419.91,15176.93,14758.66,14784.52,14355.55,14725.14,14970.21,14553.15,14657.44,14299.21,14502.47,14503.81,14489.07,13904.61,13907.6,13975.54,13490.5,13293.89,13177.84
Denmark,8198.18,8383.4,8454.09,8645.15,8526.4,8600.06,8709.83,8591.32,8644.88,8535.58,8461.27,8702.94,8642.24,8668,8490.36,8251.16,8148.18,8125.17,8010.3,7881.23,7945.14,7789.67,7684.99,7597.66,7565.56,7487.48,7544.71,7576.55,7669.77
Estonia,1963.7,1884.9,1646.21,1406.85,1364.66,1324.72,1338.83,1393.52,1350.88,1262.98,1302.11,1336.19,1295.27,1295.47,1313.96,1281.25,1275.89,1286.15,1271.65,1286.45,1307.46,1264.46,1282.19,1280.11,1245.34,1211.24,1189.88,1193.68,1184.2
European Union,736096.39,714101.46,698572.88,690147.47,676417.71,674653.64,669993.62,663607.4,648369.91,635062.98,613707.45,601908.97,590023.08,583111.37,564218.69,553051.58,539724.96,532200.03,519537.55,507575.05,496652.23,486414.3,482937.69,472024.11,464697.06,464640.04,459243.34,460713.77,451579.58
Finland,9218.69,9183.03,9118.71,9141.44,9096.63,8872.88,8777.74,8679.15,8394.93,8195.34,7908.9,7747.36,7495.28,7260.36,7046.93,6770.95,6817.15,6656.46,6456.38,6332.53,6332.71,6104.04,6018.26,5850,5722.43,5655.87,5497.37,5374.25,5310.29
France,70917.81,71664.03,71522.25,71879.89,74421.12,75252.82,73728.19,72152.67,71900.19,71680.12,71940.78,71580.55,69760.51,68674.31,67034.78,65933.09,65149.33,64707.99,64720.84,63653.85,63406.52,62210.63,60865.08,60294.23,60165.83,59501.09,58963.66,58635.59,57729.11
